City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Bada,RU,2021-05-22 23:16:48,51.392,109.8717,37.99,65,100,8.14
68,Belyy Yar,RU,2021-05-22 23:16:48,53.6039,91.3903,42.69,84,0,5.82
69,Ribeira Grande,PT,2021-05-22 23:16:48,38.5167,-28.7,59.61,63,8,9.35
70,Georgetown,MY,2021-05-22 23:15:38,5.4112,100.3354,79.9,86,20,0.0
71,San Patricio,US,2021-05-22 23:16:49,28.017,-97.5169,83.08,73,100,13.62
72,Arraial Do Cabo,BR,2021-05-22 23:14:06,-22.9661,-42.0278,74.3,81,74,11.79
73,Saskylakh,RU,2021-05-22 23:16:49,71.9167,114.0833,26.69,94,66,6.11
74,Berlevag,NO,2021-05-22 23:16:49,70.8578,29.0864,34.03,60,100,19.13
75,Harnoli,PK,2021-05-22 23:16:50,32.2792,71.5539,80.24,31,100,2.82
76,Nizwa,OM,2021-05-22 23:16:50,22.9333,57.5333,86.83,24,19,3.15
77,Severo-Kurilsk,RU,2021-05-22 23:16:50,50.6789,156.125,43.72,70,55,4.16
78,Altagracia De Orituco,VE,2021-05-22 23:16:50,9.8601,-66.3814,78.46,74,89,5.23
79,Kapaa,US,2021-05-22 23:16:50,22.0752,-159.319,82.38,76,40,1.99
80,Cape Town,ZA,2021-05-22 23:15:00,-33.9258,18.4232,54.12,65,0,4.56
81,Nikolskoye,RU,2021-05-22 23:16:51,59.7035,30.7861,46.29,97,30,3.83
82,Coihaique,CL,2021-05-22 23:16:51,-45.5752,-72.0662,46.35,81,75,4.61
83,Mehamn,NO,2021-05-22 23:16:51,71.0357,27.8492,33.58,59,98,15.79
84,Saiha,IN,2021-05-22 23:16:51,22.4833,92.9667,72.39,86,92,1.99
85,Khailar,IN,2021-05-22 23:16:52,25.35,78.5333,86.59,40,14,3.36
86,Jinxiang,CN,2021-05-22 23:16:52,27.4327,120.6062,67.93,89,100,3.44
87,Cockburn Town,TC,2021-05-22 23:16:52,21.4612,-71.1419,77.72,76,60,20.74
88,Puerto Madero,MX,2021-05-22 23:16:52,14.7208,-92.4215,88.0,70,75,5.75
89,Pevek,RU,2021-05-22 23:16:53,69.7008,170.3133,31.15,86,100,5.21
90,Olafsvik,IS,2021-05-22 23:16:53,64.8945,-23.7142,41.81,76,76,15.84
91,Bethel,US,2021-05-22 23:16:53,41.3712,-73.414,83.08,60,1,4.61
92,Souillac,MU,2021-05-22 23:16:53,-20.5167,57.5167,69.37,66,75,15.93
93,Shelburne,CA,2021-05-22 23:12:51,44.0787,-80.2041,73.13,97,67,10.51
94,Inta,RU,2021-05-22 23:16:54,66.0317,60.1659,56.1,62,92,15.79
95,Hermanus,ZA,2021-05-22 23:16:54,-34.4187,19.2345,53.91,62,8,7.34
96,Hambantota,LK,2021-05-22 23:16:54,6.1241,81.1185,81.23,82,66,17.67
97,Las Vegas,US,2021-05-22 23:12:08,36.175,-115.1372,72.95,21,20,16.11
98,Igrim,RU,2021-05-22 23:16:54,63.1906,64.4162,56.3,86,99,6.91
99,Calama,CL,2021-05-22 23:16:55,-22.4667,-68.9333,59.49,10,0,5.75
100,Novoorsk,RU,2021-05-22 23:16:55,51.381,58.9813,66.85,45,16,7.52
101,Auki,SB,2021-05-22 23:16:55,-8.7676,160.7034,83.39,75,85,4.27
102,Hobyo,SO,2021-05-22 23:16:55,5.3505,48.5268,78.82,81,29,22.88
103,Talas,TR,2021-05-22 23:16:56,38.6908,35.5538,48.87,89,75,9.6
104,Leningradskiy,RU,2021-05-22 23:16:56,69.3833,178.4167,32.72,92,100,11.77
105,Karaton,ID,2021-05-22 23:16:56,-6.3424,106.1045,79.95,94,99,2.15
