City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
232,Sao Jose Da Coroa Grande,BR,76.42,light rain,-8.8978,-35.1478,Crôa Mares Hotel
234,Nurota,UZ,87.89,scattered clouds,40.5614,65.6886,Guest House Ruslan Nurata & Tours
238,Faanui,PF,81.07,few clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
241,Moerai,PF,76.87,clear sky,-22.4333,-151.3333,Le Manotel
246,Samarai,PG,80.13,broken clouds,-10.6167,150.6667,Nuli Sapi
247,Manbij,SY,77.77,clear sky,36.5281,37.9549,Manbej City Hotel
253,Acarau,BR,77.22,scattered clouds,-2.8856,-40.12,castelo pizzaria
256,Wencheng,CN,85.39,overcast clouds,33.0559,113.7978,Ruyi Hostel
258,Uvalde,US,78.19,few clouds,29.3669,-99.76700000000001,
260,Gat,IL,76.91,clear sky,31.61,34.7642,OlusHome
262,Mana,GF,76.6,moderate rain,5.6592,-53.7767,LE SAMANA
265,Hambantota,LK,85.21,overcast clouds,6.1241,81.1185,Bungalow 63
274,Matamoros,MX,84.11,broken clouds,25.5333,-103.25,Quinta Belem
275,Sohag,EG,84.07,clear sky,26.557,31.6948,Civil Registry - Sohag 1
276,Tanout,NE,78.84,clear sky,14.9709,8.8879,
279,Funtua,NG,75.97,broken clouds,11.5233,7.3081,Sani Jikan Mallam Hotel
281,Bathsheba,BB,81.21,scattered clouds,13.2167,-59.5167,Atlantis Hotel
284,Fare,PF,81.0,few clouds,-16.7,-151.0167,Maitai Lapita Village Huahine
291,Popondetta,PG,81.81,overcast clouds,-8.7537,148.2534,Timos Transit House
293,Waingapu,ID,85.78,broken clouds,-9.6567,120.2641,Pondok Wisata Elim
295,Wuxue,CN,84.0,overcast clouds,29.8506,115.5525,Wuxue Station Hostel
296,Avera,US,80.47,broken clouds,33.194,-82.5271,
304,Meulaboh,ID,79.03,overcast clouds,4.1363,96.1285,Kost Pria
305,Kokopo,PG,77.14,overcast clouds,-4.352,152.2633,Kokopo Beach Bungalow Resort
307,Manzil Salim,TN,78.8,overcast clouds,35.8567,8.4765,mohamed ben khlil omri
